"description","neighborhood_overview","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_neighbourhood","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","neighbourhood_group_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","amenities","price","minimum_nights","maximum_nights","has_availability","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","reviews_per_month"
"Beautiful 1 bedroom apartment, with great view of the city and canal. Great for get-aways by yourself, with a friend or a loved one.<br /><br /><b>The space</b><br />Guests are welcome to use all the building facilities as well as apartment facilities such as the 4K Tv","","N/A","N/A","N/A","f","",1,1,"t","f","Capital",NA,45.41613,-75.66895,"Entire apartment","Entire home/apt",2,NA,1,1,"[""Gym"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Elevator"", ""Refrigerator"", ""Iron"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Paid parking on premises"", ""Washer"", ""Dryer"", ""Bathtub"", ""Baking sheet"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Pool"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven""]","$118.00",2,3,"t",1,1,0,"2020-02-16","2020-02-16",80,10,10,10,10,10,10,"f",1,1,0,0.08
"Beautiful luxury apartment in the heart of downtown byward, minutes from what Ottawa has to offer. Walking distance to the byward market, university of Ottawa, parliament hill, Rideau canal, grocery stores, Rideau shopping mall, museums and Light Rail Train (LRT). Unit comes fully furnished with all amenities. Close to the highway and all major bus lines. I can be made available at all times and I am looking forward to having you!<br /><br /><b>The space</b><br />Two fully furnished rooms with multiple linens, very comfortable beds, and two separate washrooms fully equipped with baths and amenities. Common room includes a kitchen, island, bar stools, beautiful couch set and TV.<br /><br /><b>Guest access</b><br />All spaces in this unit are made available, make yourself at home! Dish ware and cooking utensils are free to use. Do not hesitate to contact me if anything is missing or needed!","","N/A","N/A","100%","f","",1,1,"t","t","Rideau-Vanier",NA,45.42848,-75.68634,"Entire apartment","Entire home/apt",2,NA,2,NA,"[""Gym"", ""Hair dryer"", ""Wifi"", ""Elevator"", ""Iron"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Essentials"", ""Washer"", ""Dryer"", ""Bathtub"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Pool"", ""Shampoo""]","$180.00",2,1125,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"t",1,1,0,NA
"This beautiful Studio condo apartment is in the central town of Ottawa . You will be in the middle of Ottawa’s business, entertainment and art district and the most exciting neighborhood. It close to downtown business center which fits for business travelers. 5 minutes walk from Greyhound Station, 6 minutes drive to Parliament Hill, Byward Market where has amazing restaurants, nightclubs, shopping, monuments, park’s etc. This is the perfect getaway for solo, adventure, or business traveler.<br /><br /><b>The space</b><br />The studio has a comfortable queen bed, and a sofa bed. New furnished studio meets your expectation when staying in the amazing capital city Ottawa. The studio recently  refurnished the bathroom, which will make your stay more comfortable. <br />Free parking in underground covered parking spot.<br />Only accept single guest who books more than two days. If you really like this place, but may only stay one nigh or want to book for two people, please contact me, if I a","5 minutes walk from Greyhound station<br />5 minutes drive to World Exchange Plaza where close to many business offices, conference centers<br />6 minutes drive to  Parliament Hill, Rideau shopping center and ByWard Market<br />7 minutes drive to Lansdowne Park where has many popular restaurants<br />It also close to 417 highway entry where easily go to anywhere in Ottawa<br />There are breakfast restaurants, and Starbucks in the neighborhood.","within a few hours","100%","87%","f","",1,1,"t","t","Somerset",NA,45.41229,-75.69464,"Entire condominium","Entire home/apt",2,NA,NA,2,"[""Hair dryer"", ""Wifi"", ""Microwave"", ""Keypad"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Essentials"", ""Washer"", ""Dryer"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven""]","$82.00",2,1125,"t",18,15,1,"2020-01-23","2021-01-24",94,9,9,10,10,10,9,"f",1,1,0,1.39
"A private room with an attached full washroom and a walk-in closet is available in a brand new home.Comes with free in-house parking.","Its a quite residential neighborhood with easy access to  417 highway.The place is 8 mins drive from CTC and 10 mins from Tanger Outlets.","N/A","N/A","100%","t","",0,0,"t","t","Stittsville-Kanata West",NA,45.28532,-75.8938,"Private room in house","Private room",2,NA,1,1,"[""Essentials"", ""Free street parking"", ""Carbon monoxide alarm"", ""Wifi"", ""Bathtub"", ""Heating"", ""Free parking on premises"", ""Shampoo"", ""Hangers"", ""Smoke alarm"", ""Room-darkening shades""]","$42.00",1,5,"t",6,2,0,"2020-01-16","2020-02-28",97,10,9,10,10,10,10,"f",1,0,1,0.46
"Safe, beautiful & clean home.  Comfortable room with a doub bed.  Private bathroom with shower/tub.  Close to outlets & shopping, great restaurants, movies, etc.  Minutes from Kanata Business Park, 25 minutes to downtown Ottawa.  Home is shared with my westie puppies!<br /><br /><b>The space</b><br />We have 2 small dogs.<br /><br /><b>Guest access</b><br />bedroom & attached bathroom<br />driveway, please park on the right side only<br /><br /><b>Other things to note</b><br />I have small dogs.  West Highland Terriers, westies.  very very friendly!","safe, quiet.  Close to shopping, outlets, Starbucks, restaurants, Business Park, parks, schools, trails, etc..","N/A","N/A","80%","f","",2,2,"t","t","Stittsville-Kanata West",NA,45.27989,-75.93175,"Private room in house","Private room",2,NA,1,1,"[""Essentials"", ""Hair dryer"", ""Wifi"", ""Heating"", ""Bed linens"", ""Pool"", ""Shampoo"", ""Hangers"", ""Extra pillows and blankets"", ""Shower gel"", ""Smoke alarm"", ""Air conditioning"", ""Carbon monoxide alarm""]","$75.00",1,7,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"f",2,0,2,NA
"Suburban garden home, close to shopping and buses. Clean, simple, homey.","Local strip mall with all amenities is 3 minute walk away.","N/A","N/A","100%","f","",0,0,"t","f","Orleans",NA,45.47973,-75.53629,"Entire townhouse","Entire home/apt",4,NA,2,3,"[""Essentials"", ""TV"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Cable TV"", ""Wifi"", ""Private entrance"", ""Bed linens"", ""Iron"", ""Heating"", ""Free parking on premises"", ""Long term stays allowed"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm""]","$40.00",3,1125,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"t",1,1,0,NA
"Marvellous 2 bedrooms basement unit with private entrance. The house is walking distance to NCC pathway and the Ottawa river to enjoy the tranquility of nature. Sensplex East is close by should you be in town for hockey tournament.<br /><br /><b>The space</b><br />Spaciest 2 bedrooms unit in a quiet neighbourhood.<br /><br />- Open-concept kitchen with stainless steel  appliances and tons of counter space<br />- Living room with comfy seating that turns into a double size pull out bed<br />- Free WiFi<br />- Access to Netflix<br />- Bedrooms with comfortable queen and double size bed<br />- Access to washer and dryer<br />- Bathroom equipped with everything you need<br /><br /><b>Guest access</b><br />Guests will have access to the whole apartment<br />Private entrance with access code<br />Free parking on premise<br />Laundry is available","","N/A","N/A","89%","f","",0,0,"t","t","Beacon Hill-Cyrville",NA,45.46317,-75.59699,"Entire guest suite","Entire home/apt",4,NA,2,2,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Refrigerator"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Lake access"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher""]","$99.00",1,1125,"t",3,3,0,"2020-03-31","2020-08-22",100,10,10,10,10,10,10,"f",1,1,0,0.28
"Bright, tidy and Comfortable home. Offering you a quiet stay with access to a private room and private washroom. Clean and well maintained for short or long stays.<br /><br />Excellent location only 12 minute drive to downtown, also easy access to public transit. Close to St. Laurent shopping Centre and multiple grocery stores Food Basic and Adonis, near Montfort Hospital, College La Cité, CMHC. Beautiful Ken Steele Park right behind the apartment.<br /><br /><b>The space</b><br />Private room with own private washroom, closet space in bedroom.<br /><br /><b>Guest access</b><br />You will be able to access your own room and bathroom.  Sharing space is living room, kitchen, half bathroom and patio.","Safe and Quiet. Access to park behind the house.","N/A","N/A","80%","t","Cummings",0,0,"t","t","Beacon Hill-Cyrville",NA,45.42977,-75.63238,"Private room in condominium","Private room",1,NA,1,1,"[""Essentials"", ""TV"", ""Washer"", ""Dryer"", ""Indoor fireplace"", ""Wifi"", ""Heating"", ""Iron"", ""Long term stays allowed"", ""Shampoo"", ""Hangers"", ""Smoke alarm"", ""Air conditioning"", ""Kitchen""]","$55.00",21,181,"t",2,2,0,"2020-03-06","2020-03-12",100,10,10,10,10,10,10,"f",2,1,1,0.17
"Beautiful newly renovated basement suite with a queen size bed, 55 inch TV and kitchenette in a charming, owner occupied, 2 storey home.  Located in the Dow's Lake area steps away from the lake and walking paths, Rideau canal and the expansive experimental farm. Easy access to restaurants and retail.<br /><br /><b>The space</b><br />The space is thoroughly cleaned and disinfected after each stay with particular attention to higher touch areas. It includes a beautiful private bathroom with heated floor, queen size bed, dining area, 55 inch TV, and gas fireplace. The kitchenette has a number of amenities including a mini fridge, microwave, toaster oven, coffee machine, kettle, and blender. Coffee, tea and snacks included. There is also a laundry room with a washing machine and dryer beside the bathroom. The Dow's Lake area is a 5 min drive to TD Place, Glebe neighborhood, Little Italy, Carleton University and Civic Hospital.<br /><br /><b>Guest access</b><br />Guests should arrive at the","Staying in the Dow's Lake area provides the ultimate enjoyment for the outdoor enthusiast. The Dow's Lake Pavillion, located at 1001 Queen Elizabeth Drive, is the hub of the neighbourhood, offering a great place to relax and enjoy the picturesque Rideau Canal. You can enjoy an abundance of recreational activities throughout the year such as cycling in the summer and fall and snow shoeing, skating or cross country skiing in the winter. The Dow's Lake area is a five minute drive to Little Italy, the Glebe, Carleton University, Civic Hospital and Lansdowne Park.","within a few hours","100%","83%","f","",1,1,"t","t","Capital",NA,45.39608,-75.69947,"Private room in house","Private room",2,NA,1,1,"[""Coffee maker"", ""Hair dryer"", ""Cable TV"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Free street parking"", ""Refrigerator"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Indoor fireplace"", ""Heating"", ""Shampoo"", ""Dishes and silverware""]","$120.00",2,21,"t",5,4,0,"2020-02-03","2020-10-30",100,10,10,10,10,10,10,"t",1,0,1,0.4
"Bright and spacious, newly renovated, 2 bedroom apartment close to downtown Ottawa. Private entrance and one free driveway parking space available, with ample free street parking. Lock code for convenient self check-in. Steps to the Ottawa River bike/walking path. Bike along the river to the canal, bi-ward market, parliament, and more, or take a 15-minute drive into the heart of the city.<br /><br /><b>The space</b><br />Kitchen is equipped with cooking essentials for all of your cooking needs. Private laundry facility in-unit  complete with iron and ironing board makes this space convenient for longer stays.<br /><br />The TV is connected to Chromcast so you can cast directly from your device to the TV.","","within an hour","100%","100%","t","",0,0,"t","t","Rideau-Rockcliffe",NA,45.42713,-75.65922,"Entire house","Entire home/apt",4,NA,2,2,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Free street parking"", ""Keypad"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Dishes and silverware"", ""Stove"", ""Oven""]","$90.00",14,30,"t",8,6,0,"2020-02-03","2020-10-30",100,10,10,10,10,10,10,"t",1,1,0,0.64
"Welcome to Pleasant Park! This brand-new 3-bedroom apartment is perfect for medical professionals, students, families and more. Need to self-isolate? The unit is fully separated from the apartment above with its own independent ventilation system. In addition to usual cleaning, we disinfect door knobs, faucets, light switches, etc. between guests. We offer free parking and are within walking distance of the Ottawa Hospital, CHEO, Billings Bridge Shopping Centre. Longer stays are also welcome.<br /><br /><b>The space</b><br />Bedroom 1: This is the master bedroom. It has a queen bed, open concept wardrobe, and is located immediately next to the master bathroom. <br /><br />Bedroom 2: Nestled in the middle of the suite, this 'cozy cabin room' is fully furnished with a double bed, soft linens, bedside tables and dimmable bedside lighting. <br /><br />Bedroom 3: This room boasts a comfortable queen sized bed, compact wardrobe, and convenient under bed storage drawers. <br /><br />Master Ba","ALTA VISTA <br />Pleasant Park B&B is located in the beautiful Alta Vista neighbourhood which boasts one of the oldest tree canopies in Ottawa.  We are only a 5 minute walk from the historic Billings Bridge Estate.  <br /><br />AMENITIES<br />Groceries, LCBO and restaurants are a short 15 minute walk (or one transit stop) away at Billings Bridge Shopping Centre. Walk (20 min) or drive (5 min) to the canal, Lansdowne and TD Place along Bank Street and enjoy plenty of cafes, eateries, and antique shops along the way.<br /><br />ACTIVITIES<br />The Rideau River trail is located at the bottom of Pleasant Park Road.  This is an excellent trail for running and cycling in the summer, and cross country skiing in the winter. Paddle boards are available for rent in the summer at Billings Bridge.","within a day","100%","96%","t","",0,0,"t","f","Alta Vista",NA,45.39242,-75.66876,"Entire guest suite","Entire home/apt",8,NA,3,4,"[""Hair dryer"", ""Wifi"", ""Microwave"", ""Garden or backyard"", ""Free street parking"", ""Keypad"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Children\u2019s dinnerware"", ""Washer"", ""Dryer"", ""Private entrance"", ""Baking sheet"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher""]","$139.00",1,1125,"t",10,10,0,"2020-02-26","2020-06-30",100,10,10,10,10,10,10,"f",1,1,0,0.85
